Node1	Node2	Tags
LAW	OLD	in_to_out mid module_14
OLD	TAU	in_to_out mid module_14
LIE	TAU	inner mid module_14
LAW	TAU	inner mid module_14
FOG	TAU	in_to_out left module_14
FOG	OLD	outer mid module_14
LAW	RIB	in_to_out mid module_14
FOG	RIB	outer mid module_14
FOG	LAW	in_to_out mid module_14
ERA	LAW	inner right module_14
ERA	RIB	in_to_out mid module_14
IRE	RIB	outer mid module_14
GIG	LAW	inner right module_14
GIG	IRE	in_to_out right module_14
ERA	IRE	in_to_out right module_14
EVE	LAW	in_to_out right module_14
EVE	GIG	in_to_out right module_14
ERA	GIG	inner right module_14
IRE	LAW	in_to_out right module_14
EVE	IRE	outer right module_14
EVE	LIE	in_to_out right module_14
GIG	LIE	inner right module_14
LAW	LIE	inner right module_14
LIE	OLD	in_to_out mid module_14
EVE	OLD	outer mid module_14
FIX	MAC	in_to_out right module_11
KEG	TAR	in_to_out right module_11
KEG	LUG	in_to_out right module_11
LUG	TAR	inner right module_11
PHI	TAR	in_to_out right module_11
AIR	COW	in_to_out right module_11
AIR	GIG	in_to_out right module_11
AIR	ODD	outer right module_11
AIR	MAC	outer right module_11
AIR	FAX	outer right module_11
AIR	FIX	in_to_out right module_11
COW	KEG	in_to_out right module_11
COW	WAS	in_to_out right module_11
COW	ODD	in_to_out right module_11
COW	LIE	inner right module_11
COW	LUG	inner right module_11
COW	FIX	inner right module_11
COW	EAR	inner right module_11
COW	GIG	inner right module_11
COW	TAR	inner right module_11
COW	ZOO	in_to_out right module_11
COW	FAX	in_to_out right module_11
EAR	LIE	inner right module_11
EAR	JAM	in_to_out right module_11
EAR	WAS	in_to_out right module_11
EAR	ZOO	in_to_out right module_11
EAR	TAR	inner right module_11
EAR	PHI	in_to_out right module_11
FAX	ZOO	outer right module_11
FAX	LIE	in_to_out right module_11
FAX	GIG	in_to_out right module_11
FIX	ODD	in_to_out right module_11
FIX	GAS	in_to_out right module_11
FIX	GIG	inner right module_11
FIX	LUG	inner right module_11
GAS	ODD	outer right module_11
GAS	LUG	in_to_out right module_11
GIG	MAC	in_to_out right module_11
JAM	ZOO	outer right module_11
KEG	ODD	outer right module_11
KEG	WAS	outer right module_11
LIE	ZOO	in_to_out right module_11
LUG	ODD	in_to_out right module_11
PHI	WAS	outer right module_11
TAR	WAS	in_to_out right module_11
WAS	ZOO	outer right module_11
AMP	SEX	in_to_out right module_10
COP	WOW	inner left module_10
ALL	GOO	in_to_out left module_10
ALL	EGG	outer mid module_10
ALL	SAD	outer left module_10
ALL	RUG	in_to_out left module_10
ALL	PIG	in_to_out mid module_10
AMP	ROB	outer right module_10
AMP	CAB	ground in_to_out right module_10
CAB	ROB	in_to_out right module_10
CAB	DAD	inner right module_10
CAB	OAK	ground in_to_out right module_10
CAB	GET	ground inner mid module_10
CAB	SEX	inner right module_10
COP	NEW	ground in_to_out left module_10
COP	GET	ground inner left module_10
DAD	GEL	in_to_out right module_10
DAD	FOR	in_to_out mid module_10
DAD	EAR	inner right module_10
DAD	RUG	inner mid module_10
DAD	PIG	inner right module_10
DAD	ROB	in_to_out right module_10
DAD	SEX	inner right module_10
DAD	EGG	in_to_out mid module_10
DAD	GET	inner mid module_10
DAD	OAK	in_to_out right module_10
DAD	MOO	in_to_out right module_10
EAR	MOO	in_to_out right module_10
EAR	GEL	in_to_out right module_10
EAR	PIG	inner right module_10
EAR	SEX	inner right module_10
EGG	RUG	in_to_out mid module_10
EGG	PIG	in_to_out mid module_10
EGG	FOR	outer mid module_10
EGG	MOO	outer mid module_10
FOR	OAK	outer mid module_10
FOR	GET	in_to_out mid module_10
FOR	RUG	in_to_out mid module_10
FOR	HIP	outer mid module_10
GEL	SEX	in_to_out right module_10
GEL	ROB	outer right module_10
GEL	MOO	outer right module_10
GET	OAK	ground in_to_out mid module_10
GET	HIP	in_to_out left module_10
GET	RUG	inner left module_10
GET	WOW	inner left module_10
GET	NEW	ground in_to_out left module_10
GOO	RUG	inner left module_10
GOO	SAD	in_to_out left module_10
GOO	WOW	inner left module_10
HIP	SAD	outer left module_10
HIP	WOW	in_to_out left module_10
HIP	RUG	in_to_out left module_10
HIP	NEW	outer left module_10
MOO	PIG	in_to_out right module_10
NEW	WOW	in_to_out left module_10
OAK	ROB	outer right module_10
PIG	RUG	inner mid module_10
ROB	SEX	in_to_out right module_10
RUG	SAD	in_to_out left module_10
RUG	WOW	inner left module_10
SAD	WOW	in_to_out left module_10
GOO	PIG	inner mid module_13
JAM	LIE	in_to_out right module_13
GOO	YAK	in_to_out left module_13
LAB	YAK	outer left module_13
GOO	PRO	in_to_out left module_13
GOO	ZAP	inner left module_13
HOT	PRO	outer mid module_13
HOT	PIG	in_to_out mid module_13
HOT	ZAP	in_to_out mid module_13
HOT	JAM	outer mid module_13
HOT	OLD	outer mid module_13
HOT	LIE	in_to_out mid module_13
JAM	PIG	in_to_out mid module_13
LAB	TAU	in_to_out left module_13
LAB	ZAP	in_to_out left module_13
LAB	OLD	outer mid module_13
LIE	ZAP	inner mid module_13
LIE	PIG	inner mid module_13
OLD	ZAP	in_to_out mid module_13
PIG	ZAP	inner mid module_13
PIG	PRO	in_to_out mid module_13
PRO	ZAP	in_to_out left module_13
PRO	YAK	outer left module_13
TAU	ZAP	inner left module_13
YAK	ZAP	in_to_out left module_13
BED	COY	inner left module_12
COY	NOR	inner left module_12
KEY	NOR	in_to_out left module_12
ACT	BUG	inner left module_12
ACT	ASH	in_to_out left module_12
ACT	LAM	in_to_out left module_12
ART	COY	in_to_out left module_12
ART	FIG	outer left module_12
ART	ASH	outer left module_12
ART	MAD	outer left module_12
ART	LAX	in_to_out left module_12
ART	NOR	in_to_out left module_12
ART	BUG	in_to_out left module_12
ASH	LAM	outer left module_12
ASH	LAX	in_to_out left module_12
ASH	BUG	in_to_out left module_12
BED	MAD	in_to_out left module_12
BED	LAX	inner left module_12
BUG	YAK	in_to_out left module_12
BUG	LAB	in_to_out left module_12
BUG	LAM	in_to_out left module_12
BUG	NOR	inner left module_12
BUG	LAX	inner left module_12
BUG	COY	inner left module_12
BUG	GOO	inner left module_12
BUG	FIG	in_to_out left module_12
COY	LAX	inner left module_12
COY	MAD	in_to_out left module_12
FIG	KEY	outer left module_12
FIG	GOO	in_to_out left module_12
FIG	NOR	in_to_out left module_12
FIG	YAK	outer left module_12
GOO	NOR	inner left module_12
GOO	KEY	in_to_out left module_12
LAB	LAM	outer left module_12
LAX	MAD	in_to_out left module_12
ARM	ELF	in_to_out right module_1
ARM	BIO	outer right module_1
ARM	WET	in_to_out right module_1
ARM	DUB	outer right module_1
ARM	NOM	in_to_out right module_1
BIO	ELF	in_to_out right module_1
BIO	JOY	outer right module_1
BIO	NOM	in_to_out right module_1
BIO	RAD	outer right module_1
BIO	SPY	in_to_out right module_1
DUB	WET	in_to_out right module_1
DUB	ELF	in_to_out right module_1
ELF	WET	inner right module_1
ELF	SPY	inner right module_1
ELF	PIE	inner right module_1
ELF	GAL	in_to_out right module_1
ELF	WAR	in_to_out right module_1
