Node	X	Y	Z	Tags
ACE	83	42	19	inner right
ACT	-51	-19	48	inner left
ADO	12	93	38	inner right
AGE	-91	-39	-41	inner left
AGO	-78	100	-32	inner left
AHI	39	34	65	outer right
AIM	-85	95	-92	ground outer left
AIR	71	-32	44	outer right
ALA	-74	120	-24	outer left
ALL	-21	-139	32	outer left
AMP	52	-119	-45	ground outer right
ARM	65	101	14	outer right
ART	-85	-59	27	outer left
ASH	-71	-36	50	outer left
ASK	101	65	-68	outer right
BAH	97	-15	-79	outer right
BAM	73	-40	-83	ground inner right
BAR	-107	-27	-61	outer left
BED	-95	-10	-9	inner left
BIO	66	119	-10	outer right
BOA	-5	114	32	outer mid
BOX	-102	46	-89	ground outer left
BOY	108	12	-69	outer right
BRO	82	72	23	outer right
BUG	-59	-65	39	inner left
CAB	26	-123	-38	ground inner right
CHI	-103	-38	-16	outer left
CIS	85	12	-83	ground inner right
COP	-40	-109	-42	ground inner left
COW	61	-56	28	inner right
COY	-80	-50	2	inner left
CUP	-102	2	-56	inner left
DAD	25	-147	1	inner right
DAY	-95	30	-26	inner left
DIG	99	82	-25	outer right
DOG	-111	-17	-35	outer left
DRY	-57	100	26	outer left
DUB	41	100	32	outer right
DUH	-51	5	64	outer left
DUI	97	55	-20	inner right
EAR	48	-101	24	inner right
EGG	5	-150	22	outer mid
EGO	-99	75	-81	outer left
ELF	43	110	-1	inner right
ELK	-74	-76	-39	inner left
EON	63	51	48	outer right
ERA	14	15	62	inner right
ETA	98	-10	-51	inner right
EVE	31	-41	70	outer right
EYE	97	15	16	outer right
FAN	-54	51	54	outer left
FAX	53	-54	54	outer right
FIG	-69	-94	34	outer left
FIX	74	-9	23	inner right
FLU	-107	-7	-81	ground outer left
FLY	-82	94	1	outer left
FOG	-12	-25	79	outer left
FOR	-2	-159	-12	outer mid
FOX	113	14	-40	outer right
FRO	83	92	-77	outer right
FUN	-42	81	46	outer left
GAL	25	134	-2	outer right
GAS	98	-14	8	outer right
GEL	53	-136	8	outer right
GET	-11	-141	-35	ground inner left
GIG	42	-22	51	inner right
GIN	-90	31	18	inner left
GOO	-42	-113	27	inner left
GUN	80	87	-51	inner right
GUT	-59	126	-49	inner left
GYM	-102	48	-61	inner left
HAM	-78	6	43	outer left
HAY	78	-66	-67	ground outer right
HEX	-58	139	-73	outer left
HIP	-33	-154	-18	outer left
HIT	97	66	4	outer right
HOT	5	-99	59	outer mid
HOW	4	117	4	inner mid
HUG	-93	18	-90	ground inner left
ICE	-102	2	19	outer left
INK	-53	134	-23	outer left
IRE	36	-3	69	outer right
IVY	94	12	-13	inner right
JAM	30	-105	49	outer right
JAR	84	-54	-46	inner right
JOB	4	75	60	outer mid
JOY	84	108	-32	outer right
JUG	-5	38	71	outer mid
KEG	84	-62	11	outer right
KEY	-69	-117	12	outer left
KIT	-94	-69	-20	outer left
LAB	-37	-72	62	outer left
LAM	-50	-46	62	outer left
LAW	10	-27	66	inner right
LAX	-79	-13	27	inner left
LEG	54	138	-69	outer right
LID	-75	66	-100	ground inner left
LIE	25	-71	52	inner right
LUG	87	-36	-6	inner right
MAC	68	1	50	outer right
MAD	-98	-29	14	outer left
MAY	-43	147	-46	outer left
MIX	-82	116	-60	outer left
MOM	-85	90	-64	inner left
MOO	32	-136	29	outer right
MOP	-41	32	64	outer left
NAN	-57	25	42	inner left
NAY	-14	89	51	outer left
NEW	-41	-135	-42	ground outer left
